ID,ordinal,mode,average,round_average
1,0,0,0.333333333,0
2,1,0,0.043478261,0
3,0,0,0,0
4,0,0,0.042553191,0
5,1,0,0.081081081,0
6,0,0,0.047619048,0
7,0,0,0.069767442,0
8,0,0,0.1,0
9,0,0,0,0
10,3,3,1.8,2
11,1,0,0.15,0
12,1,0,0.097560976,0
14,0,0,0,0
15,3,0,0.418604651,0
16,0,0,0.235294118,0
17,0,0,0,0
18,0,0,0.071428571,0
19,0,0,0,0
20,0,0,0.119047619,0
21,1,0,0.051282051,0
22,3,0,0.76,1
23,1,0,0.1,0
24,1,0,0.041666667,0
25,0,0,0.240740741,0
26,0,0,0.083333333,0
27,0,0,0.181818182,0
28,0,0,0.142857143,0
29,3,0,0.30952381,0
31,0,0,0.024390244,0
32,0,0,0.5,0
33,0,0,0.136363636,0
34,0,0,0,0
35,0,0,0.15,0
36,1,0,0.166666667,0
37,0,0,0.279069767,0
38,0,0,0.25,0
39,0,0,0.333333333,0
40,0,0,0.380952381,0
42,0,0,0,0
43,0,0,0.333333333,0
44,0,0,0.222222222,0
45,0,0,0.222222222,0
46,0,0,0,0
47,3,1,0.5,0
48,1,0,0,0
49,0,0,0.166666667,0
50,0,0,0,0
51,1,0,0,0
53,0,3,1.605263158,2
54,1,0,0.0625,0
55,0,0,0,0
56,1,0,0.571428571,1
57,0,0,0.25,0
58,2,0,0.386363636,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0.142857143,0
62,0,0,0.071428571,0
